iter	RMSE
0	6636.506963
1	6391.522287
2	6161.462342
3	5943.596771
4	5738.093518
5	5543.230241
6	5359.061381
7	5183.430295
8	5021.537121
9	4870.034318
10	4725.703927
11	4592.1451
12	4467.336432
13	4348.959183
14	4236.003596
15	4132.400439
16	4034.778053
17	3944.667736
18	3857.608254
19	3776.745372
20	3701.349796
21	3633.482131
22	3564.255121
23	3501.242024
24	3443.539155
25	3387.001214
26	3333.877714
27	3284.879807
28	3237.451174
29	3194.266372
30	3154.284965
31	3114.582028
32	3078.852096
33	3047.012583
34	3016.417126
35	2986.733015
36	2957.262497
37	2931.353971
38	2907.149222
39	2879.666629
40	2857.036793
41	2834.151687
42	2811.589719
43	2792.565526
44	2772.726395
45	2754.00691
46	2736.304789
47	2719.953963
48	2703.555768
49	2686.95169
50	2672.678152
51	2658.741448
52	2645.049127
53	2630.812115
54	2620.194909
55	2609.04293
56	2597.501115
57	2587.415129
58	2575.875727
59	2565.388221
60	2555.240656
61	2545.51711
62	2535.501214
63	2528.12976
64	2519.674595
65	2509.997753
66	2501.418246
67	2492.772094
68	2483.18545
69	2475.751764
70	2466.653574
71	2458.359532
72	2450.995129
73	2444.84162
74	2438.443794
75	2432.388073
76	2425.39842
77	2417.516845
78	2412.056351
79	2406.35933
80	2399.736749
81	2394.028229
82	2389.559881
83	2382.829351
84	2378.284542
85	2373.420038
86	2367.400371
87	2362.487763
88	2357.776529
