iter	Passed	Remaining
0	62	62795
1	65	32735
2	68	22624
3	70	17536
4	72	14504
5	75	12474
6	77	11023
7	80	9920
8	82	9069
9	84	8380
10	86	7801
11	89	7334
12	91	6951
13	93	6617
14	96	6321
15	98	6067
16	101	5840
17	103	5636
18	105	5447
19	107	5290
20	110	5134
21	112	4995
22	114	4875
23	116	4757
24	119	4652
25	121	4549
26	124	4488
27	126	4403
28	129	4332
29	131	4263
30	133	4186
31	135	4113
32	138	4060
33	141	4021
34	143	3963
35	145	3906
36	148	3856
37	150	3810
38	152	3763
39	155	3723
40	157	3678
41	159	3638
42	161	3600
43	164	3564
44	166	3526
45	168	3493
46	170	3459
47	172	3427
48	174	3395
49	177	3369
50	179	3340
51	181	3315
52	183	3284
53	185	3257
54	187	3229
55	190	3208
56	192	3183
57	194	3158
58	196	3132
59	198	3110
60	200	3089
61	202	3068
62	204	3046
63	207	3028
64	209	3010
65	211	2993
66	213	2975
67	215	2957
68	217	2941
69	220	2923
70	222	2905
71	224	2890
72	226	2876
73	228	2859
74	230	2845
75	232	2830
76	234	2816
77	237	2802
78	239	2790
79	241	2782
80	244	2771
81	246	2760
82	248	2747
83	250	2736
84	253	2725
85	255	2716
86	258	2708
87	260	2697
88	262	2687
