iter	RMSE
0	6636.506963
1	6389.003074
2	6161.367369
3	5941.630877
4	5739.118321
5	5542.18382
6	5357.558386
7	5182.745048
8	5017.702235
9	4864.715401
10	4721.508651
11	4587.594468
12	4464.092304
13	4346.541299
14	4234.304056
15	4128.597343
16	4032.330244
17	3941.833345
18	3856.496905
19	3776.625664
20	3702.280495
21	3631.032106
22	3562.878066
23	3500.658602
24	3441.029401
25	3384.593892
26	3331.20693
27	3281.802837
28	3233.900473
29	3189.175691
30	3149.482207
31	3111.360658
32	3074.884782
33	3041.449704
34	3009.801416
35	2978.139961
36	2947.194377
37	2921.240292
38	2894.79983
39	2869.972808
40	2850.065245
41	2828.085016
42	2807.342337
43	2788.106033
44	2770.343099
45	2752.955529
46	2735.070875
47	2716.989283
48	2700.95302
49	2684.78802
50	2669.771363
51	2656.715068
52	2642.683518
53	2630.162525
54	2618.127269
55	2606.603482
56	2594.840891
57	2584.070298
58	2574.610066
59	2563.410588
60	2552.442329
61	2542.925633
62	2533.301261
63	2525.844127
64	2517.829982
65	2509.733001
66	2501.57799
67	2492.384116
68	2482.188491
69	2474.723099
70	2466.286909
71	2458.640244
72	2452.112359
73	2445.088802
74	2439.257242
75	2431.273487
76	2423.494726
77	2417.735605
78	2412.665357
