iter	Passed	Remaining
0	4	4946
1	7	3545
2	9	3106
3	11	2917
4	14	2842
5	16	2737
6	18	2658
7	21	2615
8	23	2580
9	25	2543
10	27	2494
11	30	2476
12	32	2451
13	34	2445
14	36	2425
15	39	2417
16	41	2411
17	43	2392
18	45	2372
19	48	2368
20	50	2357
21	52	2345
22	55	2342
23	57	2326
24	59	2319
25	61	2308
26	64	2311
27	66	2308
28	68	2300
29	71	2296
30	73	2289
31	75	2278
32	77	2269
33	79	2266
34	81	2258
35	84	2254
36	86	2244
37	88	2244
38	90	2242
39	93	2234
40	95	2232
41	97	2231
42	99	2223
43	102	2217
44	104	2212
45	106	2210
46	109	2213
47	111	2211
48	113	2210
49	116	2213
50	118	2212
51	121	2215
52	123	2215
53	126	2212
54	128	2208
55	130	2204
56	132	2197
57	134	2190
58	137	2186
59	139	2179
60	141	2175
61	143	2168
62	145	2166
63	147	2159
64	149	2155
65	151	2149
66	154	2147
67	156	2141
68	158	2136
69	160	2132
70	163	2133
71	165	2128
72	167	2123
73	169	2119
74	171	2115
75	173	2108
76	175	2108
77	178	2104
78	180	2100
